OrderID,Date,Region,Category,UnitPrice,Quantity,Discount,Revenue,Profit,CustomerID
ORD-101487,2023-01-01,West,Electronics,522.6,11,0.15,5748.64,1357.74,232
ORD-101995,2023-01-02,East,Electronics,579.07,6,0.13,3474.41,786.65,142
ORD-101408,2023-01-02,South,Groceries,28.86,1,0.21,28.86,2.85,168
ORD-101948,2023-01-02,Central,Apparel,84.05,3,0.19,252.15,28.24,320
ORD-101481,2023-01-02,North,Office Supplies,41.03,6,0.11,246.16,44.86,353
ORD-101621,2023-01-03,Central,Groceries,22.28,2,0.22,44.57,1.95,287
ORD-101912,2023-01-03,East,Furniture,349.99,5,0.27,1749.94,334.25,48
ORD-101738,2023-01-03,West,Electronics,564.64,8,0.19,4517.13,286.35,194
ORD-100844,2023-01-04,North,Groceries,25.59,2,0.23,51.18,-0.03,387
ORD-100772,2023-01-04,East,Apparel,60.9,5,0.2,304.49,23.4,146
ORD-101236,2023-01-04,North,Furniture,298.36,3,0.11,895.07,113.37,152
ORD-100845,2023-01-04,East,Office Supplies,52.9,4,0.18,211.59,49.04,193
ORD-100380,2023-01-04,South,Electronics,384.02,4,0.15,1536.09,275.79,194
ORD-101293,2023-01-04,South,Office Supplies,55.75,1,0.02,55.75,11.46,55
ORD-100900,2023-01-04,East,Electronics,577.47,6,0.06,3464.83,237.55,173
ORD-101549,2023-01-04,South,Electronics,403.19,8,0.04,3225.54,728.4,188
ORD-100464,2023-01-05,West,Apparel,51.7,9,0.2,465.34,11.75,242
ORD-101278,2023-01-06,Central,Electronics,551.23,6,0.09,3307.35,420.81,7
ORD-100706,2023-01-06,North,Furniture,399.81,8,0.04,3198.49,1036.96,310
ORD-100574,2023-01-06,North,Furniture,278.46,11,0.29,3063.04,460.65,60
ORD-100103,2023-01-06,West,Apparel,79.11,3,0.22,237.32,43.19,56
ORD-101189,2023-01-06,Central,Office Supplies,45.11,7,0.2,315.75,17.71,253
ORD-101806,2023-01-07,South,Furniture,320.52,5,0.21,1602.61,205.52,226
ORD-101531,2023-01-07,East,Furniture,418.4,1,0.19,418.4,-12.59,52
ORD-101174,2023-01-07,South,Apparel,69.85,7,0.27,488.96,43.59,168
ORD-101762,2023-01-08,North,Groceries,33.42,6,0.22,200.54,-7.86,182
ORD-101069,2023-01-08,East,Electronics,357.99,4,0.1,1431.95,166.07,124
ORD-100302,2023-01-08,West,Electronics,543.68,1,0.07,543.68,107.81,179
ORD-100800,2023-01-09,East,Electronics,445.39,11,0.05,4899.27,272.1,258
ORD-100789,2023-01-09,North,Apparel,71.69,10,0.25,716.88,-16.04,29
ORD-101681,2023-01-10,Central,Electronics,594.63,10,0.01,5946.29,1073.58,227
ORD-101037,2023-01-11,North,Apparel,62.94,4,0.17,251.77,25.61,42
ORD-100838,2023-01-11,West,Apparel,72.19,3,0.05,216.58,,229
ORD-100409,2023-01-11,West,Electronics,572.71,7,0.2,4008.94,120.65,208
ORD-101120,2023-01-11,South,Groceries,18.48,10,0.18,184.79,42.54,203
ORD-100888,2023-01-12,Central,Groceries,32.25,8,0.23,257.99,12.44,48
ORD-101623,2023-01-13,Central,Groceries,24.99,7,0.22,174.92,24.87,265
ORD-101365,2023-01-13,West,Electronics,428.09,5,0.08,2140.45,614.3,14
ORD-100414,2023-01-14,North,Electronics,544.1,1,0.03,544.1,69.59,4
ORD-101593,2023-01-14,North,Electronics,568.06,3,0.19,1704.17,266.22,349
ORD-100477,2023-01-14,Central,Groceries,25.39,6,0.13,152.35,17.54,387
ORD-101651,2023-01-14,South,Apparel,97.47,3,0.24,292.42,25.8,335
ORD-100232,2023-01-15,North,Office Supplies,39.37,7,0.28,275.57,2.87,45
ORD-100539,2023-01-16,South,Furniture,210.22,4,0.08,840.88,249.79,58
ORD-101528,2023-01-16,West,Electronics,476.57,6,0.24,2859.42,461.17,353
ORD-100299,2023-01-16,South,Electronics,344.16,7,0.1,2409.09,713.6,217
ORD-100368,2023-01-17,North,Electronics,575.89,3,0.1,1727.67,258.14,224
ORD-101166,2023-01-17,Central,Electronics,504.78,10,0.18,5047.82,-188.38,119
ORD-100169,2023-01-17,North,Office Supplies,37.29,7,0.12,261.04,8.88,354
ORD-100271,2023-01-17,South,Office Supplies,52.51,8,0.05,420.05,117.84,208
ORD-101743,2023-01-17,West,Electronics,317.67,1,0.19,317.67,13.39,48
ORD-101782,2023-01-18,East,Groceries,28.3,6,0.2,169.78,20.94,192
ORD-100820,2023-01-18,Central,Apparel,83.1,9,0.12,747.91,207.3,325
ORD-101179,2023-01-19,Central,Groceries,25.04,5,0.01,125.19,28.16,308
ORD-100453,2023-01-19,Central,Electronics,369.98,1,0.29,369.98,-13.21,6
ORD-101398,2023-01-19,North,Electronics,490.41,3,0.24,1471.24,-37.38,368
ORD-100428,2023-01-19,West,Groceries,33.74,6,0.29,202.42,6.63,162
ORD-100829,2023-01-22,East,Office Supplies,50.17,8,0.29,401.37,14.06,252
ORD-101589,2023-01-22,South,Groceries,26.49,7,0.04,185.43,17.2,78
ORD-101492,2023-01-22,North,Groceries,32.36,1,0.27,32.36,-2.48,278
ORD-101943,2023-01-22,North,Groceries,27.94,2,0.17,55.88,2.17,158
ORD-101299,2023-01-22,West,Apparel,96.29,8,0.03,770.34,175.37,171
ORD-101535,2023-01-23,East,Electronics,369.07,5,0.11,1845.33,124.66,131
ORD-100137,2023-01-23,South,Electronics,327.56,5,0.01,1637.82,408.48,35
ORD-101868,2023-01-23,Central,Furniture,346.2,3,0.05,1038.6,79.5,62
ORD-100384,2023-01-24,Central,Electronics,389.97,8,0.05,3119.73,792.5,229
ORD-100786,2023-01-24,South,Groceries,32.89,3,0.18,98.66,17.89,74
ORD-101682,2023-01-26,North,Apparel,78.1,5,0.29,390.48,64.57,14
ORD-100146,2023-01-26,West,Apparel,92.9,5,0.08,464.5,5.83,333
ORD-100662,2023-01-26,West,Groceries,26.75,1,0.3,26.75,5.29,116
ORD-101265,2023-01-27,North,Office Supplies,51.47,10,0.21,514.74,-7.21,381
ORD-100969,2023-01-27,East,Electronics,566.75,4,0.16,2267.01,207.18,234
ORD-101908,2023-01-27,Central,Apparel,97.38,7,0.1,681.66,82.84,89
ORD-100843,2023-01-27,Central,Office Supplies,43.89,3,0.18,131.66,26.54,119
ORD-101445,2023-01-27,East,Office Supplies,32.29,1,0.08,32.29,0.57,11
ORD-100116,2023-01-28,North,Electronics,504.46,11,0.17,5549.09,1375.35,385
ORD-100327,2023-01-28,East,Apparel,94.14,9,0.17,847.26,19.44,287
ORD-101239,2023-01-30,East,Apparel,76.73,10,0.29,767.3,-41.32,393
ORD-101451,2023-01-30,West,Groceries,22.48,5,0.08,112.41,33.51,50
ORD-100869,2023-01-30,West,Office Supplies,33.46,1,0.19,33.46,8.26,286
ORD-100249,2023-01-31,Central,Office Supplies,51.01,4,0.02,204.05,65.13,399
ORD-101098,2023-01-31,North,Apparel,80.28,8,0.17,642.23,7.72,268
ORD-101018,2023-01-31,East,Electronics,549.31,1,0.21,549.31,-7.74,99
ORD-100901,2023-01-31,North,Apparel,50.34,3,0.27,151.02,1.32,112
